From	Entry	Entry Name	Gene Names	Organism	Gene Ontology (GO)
fixN	A0A508WV57	A0A508WV57_9HYPH	fixN EMEDMD4_1090013	Sinorhizobium medicae	plasma membrane respiratory chain complex IV [GO:0045278]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]
ccoP	A0A6G1WG49	A0A6G1WG49_9HYPH	ccoP GHJ91_05625	Sinorhizobium medicae	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A6G1WG60	A0A6G1WG60_9HYPH	ccoP GHJ91_05580	Sinorhizobium medicae	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A6G1WGC2	A0A6G1WGC2_9HYPH	ccoP GHJ91_06180 GHJ91_23615	Sinorhizobium medicae	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
ccoP	A0A6G1WHB5	A0A6G1WHB5_9HYPH	ccoP GHJ91_08090	Sinorhizobium medicae	plasma membrane [GO:0005886]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; oxidative phosphorylation [GO:0006119]; proton transmembrane transport [GO:1902600]
narL	A0A508X6W1	A0A508X6W1_9HYPH	narL EMEDMD4_500119	Sinorhizobium medicae	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]
thiC	A0A508X1L6	A0A508X1L6_9HYPH	thiC EMEDMD4_520002	Sinorhizobium medicae	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
thiC	A0A6G1WHR9	A0A6G1WHR9_9HYPH	thiC GHJ91_08520	Sinorhizobium medicae	4 iron, 4 sulfur cluster binding [GO:0051539]; carbon-carbon lyase activity [GO:0016830]; zinc ion binding [GO:0008270]; thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
exsH	A0A508X6J3	A0A508X6J3_9HYPH	exsH EMEDMD4_620033	Sinorhizobium medicae	calcium ion binding [GO:0005509]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
exsH	A0A508X8N5	A0A508X8N5_9HYPH	exsH EMEDMD4_930012	Sinorhizobium medicae	calcium ion binding [GO:0005509]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
