From	Entry	Entry Name	Gene Names	Organism	Gene Ontology (GO)
cckA	A0A508WV23	A0A508WV23_9HYPH	cckA EMEDMD4_180075	Sinorhizobium medicae	membrane [GO:0016020]; phosphorelay sensor kinase activity [GO:0000155]
yjgH	A0A508X689	A0A508X689_9HYPH	yjgH EMEDMD4_790306	Sinorhizobium medicae	cytosol [GO:0005829]; deaminase activity [GO:0019239]
des	A0A508X5Q2	A0A508X5Q2_9HYPH	des EMEDMD4_790171	Sinorhizobium medicae	membrane [GO:0016020]; oxidoreductase activity [GO:0016491]; carboxylic acid metabolic process [GO:0019752]; cellular lipid metabolic process [GO:0044255]
ade	A0A508WZP5	A0A508WZP5_9HYPH	ade EMEDMD4_270214	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A508X5Z9	A0A508X5Z9_9HYPH	ade EMEDMD4_790315	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A508X6K7	A0A508X6K7_9HYPH	ade EMEDMD4_790313	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A508X8Q5	A0A508X8Q5_9HYPH	ade EMEDMD4_570055	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A6G1WEE2	A0A6G1WEE2_9HYPH	ade GHJ91_02205	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A6G1WIE8	A0A6G1WIE8_9HYPH	ade GHJ91_10075	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A6G1WKB1	A0A6G1WKB1_9HYPH	ade GHJ91_13650	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
ade	A0A6G1WKE6	A0A6G1WKE6_9HYPH	ade GHJ91_13640	Sinorhizobium medicae	adenine deaminase activity [GO:0000034]; adenine catabolic process [GO:0006146]
nifD	A0A508X5K8	A0A508X5K8_9HYPH	nifD EMEDMD4_750014	Sinorhizobium medicae	molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]
nifD	D0EJA7	D0EJA7_9HYPH	nifD	Sinorhizobium medicae	molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]
nifD	D0EJB2	D0EJB2_9HYPH	nifD	Sinorhizobium medicae	molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]
nifD	D0EJC2	D0EJC2_9HYPH	nifD	Sinorhizobium medicae	molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]
nifD	D0EJC7	D0EJC7_9HYPH	nifD	Sinorhizobium medicae	molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]
